Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20200808,3,4,""
20200809,2,4,""
20200810,8,4.57142857142857,""
20200811,2,4,""
20200812,4,3.57142857142857,""
20200813,4,3.85714285714286,""
20200814,8,4.42857142857143,""
20200815,6,4.85714285714286,""
20200816,3,5,""
20200817,9,5.14285714285714,""
20200818,8,6,""
20200819,10,6.85714285714286,""
20200820,8,7.42857142857143,""
20200821,5,7,""
20200822,7,7.14285714285714,""
20200823,2,7,""
20200824,12,7.42857142857143,""
20200825,11,7.85714285714286,""
20200826,13,8.28571428571429,""
20200827,10,8.57142857142857,""
20200828,6,8.71428571428571,""
20200829,5,8.42857142857143,""
20200830,4,8.71428571428571,""
20200831,5,7.71428571428571,""
20200901,4,6.71428571428571,""
20200902,9,6.14285714285714,""
20200903,5,5.42857142857143,""
20200904,17,7,""
20200905,9,7.57142857142857,""
20200906,8,8.14285714285714,""
20200907,18,10,""
20200908,17,11.8571428571429,""
20200909,9,11.8571428571429,""
20200910,22,14.2857142857143,""
20200911,20,14.7142857142857,""
20200912,17,15.8571428571429,""
20200913,12,16.4285714285714,""
20200914,21,16.8571428571429,""
20200915,21,17.4285714285714,""
20200916,36,21.2857142857143,""
20200917,21,21.1428571428571,""
20200918,14,20.2857142857143,""
20200919,19,20.5714285714286,""
20200920,19,21.5714285714286,""
20200921,28,22.5714285714286,""
20200922,34,24.4285714285714,""
20200923,29,23.4285714285714,""
20200924,35,25.4285714285714,""
20200925,36,28.5714285714286,""
20200926,34,30.7142857142857,""
20200927,35,33,""
20200928,46,35.5714285714286,""
20200929,33,35.4285714285714,""
20200930,47,38,""
20201001,64,42.1428571428571,""
20201002,56,45,""
20201003,47,46.8571428571429,""
20201004,47,48.5714285714286,""
20201005,74,52.5714285714286,""
20201006,95,61.4285714285714,""
20201007,90,67.5714285714286,""
20201008,98,72.4285714285714,""
20201009,84,76.4285714285714,""
20201010,75,80.4285714285714,""
20201011,80,85.1428571428571,""
20201012,107,89.8571428571429,""
20201013,126,94.2857142857143,""
20201014,124,99.1428571428571,""
20201015,108,100.571428571429,""
20201016,140,108.571428571429,""
20201017,88,110.428571428571,""
20201018,89,111.714285714286,""
20201019,140,116.428571428571,""
20201020,139,118.285714285714,""
20201021,132,119.428571428571,""
20201022,139,123.857142857143,""
20201023,131,122.571428571429,""
20201024,120,127.142857142857,""
20201025,116,131,""
20201026,139,130.857142857143,""
20201027,138,130.714285714286,""
20201028,131,130.571428571429,""
20201029,104,125.571428571429,""
20201030,133,125.857142857143,""
20201031,105,123.714285714286,""
20201101,105,122.142857142857,""
20201102,115,118.714285714286,""
20201103,120,116.142857142857,""
20201104,126,115.428571428571,""
20201105,102,115.142857142857,""
20201106,99,110.285714285714,""
20201107,88,107.857142857143,""
20201108,82,104.571428571429,""
20201109,103,102.857142857143,""
20201110,108,101.142857142857,""
20201111,116,99.7142857142857,""
20201112,113,101.285714285714,""
20201113,109,102.714285714286,""
20201114,101,104.571428571429,""
20201115,95,106.428571428571,""
20201116,96,105.428571428571,""
20201117,112,106,""
20201118,100,103.714285714286,""
20201119,98,101.571428571429,""
20201120,111,101.857142857143,""
20201121,88,100,""
20201122,68,96.1428571428571,""
20201123,107,97.7142857142857,""
20201124,106,96.8571428571429,""
20201125,86,94.8571428571429,""
20201126,105,95.8571428571429,""
20201127,92,93.1428571428571,""
20201128,64,89.7142857142857,""
20201129,70,90,""
20201130,90,87.5714285714286,""
20201201,86,84.7142857142857,""
20201202,104,87.2857142857143,""
20201203,75,83,""
20201204,87,82.2857142857143,""
20201205,78,84.2857142857143,""
20201206,66,83.7142857142857,""
20201207,92,84,""
20201208,105,86.7142857142857,""
20201209,98,85.8571428571429,""
20201210,94,88.5714285714286,""
20201211,93,89.4285714285714,""
20201212,71,88.4285714285714,""
20201213,70,89,""
20201214,94,89.2857142857143,""
20201215,85,86.4285714285714,""
20201216,114,88.7142857142857,""
20201217,99,89.4285714285714,""
20201218,90,89,""
20201219,95,92.4285714285714,""
20201220,71,92.5714285714286,""
20201221,108,94.5714285714286,""
20201222,105,97.4285714285714,""
20201223,107,96.4285714285714,""
20201224,96,96,""
20201225,78,94.2857142857143,""
20201226,109,96.2857142857143,""
20201227,143,106.571428571429,""
20201228,155,113.285714285714,""
20201229,156,120.571428571429,""
20201230,193,132.857142857143,""
20201231,174,144,""
20210101,135,152.142857142857,""
20210102,153,158.428571428571,""
20210103,137,157.571428571429,""
20210104,189,162.428571428571,""
20210105,197,168.285714285714,""
20210106,202,169.571428571429,""
20210107,205,174,""
20210108,198,183,""
20210109,184,187.428571428571,""
20210110,169,192,""
20210111,241,199.428571428571,""
20210112,211,201.428571428571,""
20210113,180,198.285714285714,""
20210114,206,198.428571428571,""
20210115,184,196.428571428571,""
20210116,170,194.428571428571,""
20210117,160,193.142857142857,""
20210118,178,184.142857142857,""
20210119,198,182.285714285714,""
20210120,184,182.857142857143,""
20210121,194,181.142857142857,""
20210122,172,179.428571428571,""
20210123,148,176.285714285714,""
20210124,121,170.714285714286,""
20210125,147,166.285714285714,""
20210126,162,161.142857142857,""
20210127,160,157.714285714286,""
20210128,139,149.857142857143,""
20210129,152,147,""
20210130,118,142.714285714286,""
20210131,108,140.857142857143,""
20210201,124,137.571428571429,""
20210202,113,130.571428571429,""
20210203,112,123.714285714286,""
20210204,111,119.714285714286,""
20210205,116,114.571428571429,""
20210206,92,110.857142857143,""
20210207,97,109.285714285714,""
20210208,83,103.428571428571,""
20210209,98,101.285714285714,""
20210210,82,97,""
20210211,96,94.8571428571429,""
20210212,94,91.7142857142857,""
20210213,72,88.8571428571429,""
20210214,64,84.1428571428571,""
20210215,92,85.4285714285714,""
20210216,99,85.5714285714286,""
20210217,76,84.7142857142857,""
20210218,79,82.2857142857143,""
20210219,91,81.8571428571429,""
20210220,86,83.8571428571429,""
20210221,70,84.7142857142857,""
20210222,73,82,""
20210223,69,77.7142857142857,""
20210224,57,75,""
20210225,50,70.8571428571429,""
20210226,62,66.7142857142857,""
20210227,50,61.5714285714286,""
20210228,54,59.2857142857143,""
20210301,67,58.4285714285714,""
20210302,65,57.8571428571429,""
20210303,42,55.7142857142857,""
20210304,45,55,""
20210305,42,52.1428571428571,""
20210306,37,50.2857142857143,""
20210307,24,46,""
20210308,36,41.5714285714286,""
20210309,45,38.7142857142857,""
20210310,34,37.5714285714286,""
20210311,36,36.2857142857143,""
20210312,43,36.4285714285714,""
20210313,29,35.2857142857143,""
20210314,27,35.7142857142857,""
20210315,40,36.2857142857143,""
20210316,25,33.4285714285714,""
20210317,36,33.7142857142857,""
20210318,32,33.1428571428571,""
20210319,24,30.4285714285714,""
20210320,19,29,""
20210321,29,29.2857142857143,""
20210322,33,28.2857142857143,""
20210323,29,28.8571428571429,""
20210324,28,27.7142857142857,""
20210325,31,27.5714285714286,""
20210326,24,27.5714285714286,""
20210327,20,27.7142857142857,""
20210328,24,27,""
20210329,24,25.7142857142857,""
20210330,21,24.5714285714286,""
20210331,21,23.5714285714286,""
20210401,23,22.4285714285714,""
20210402,26,22.7142857142857,""
20210403,17,22.2857142857143,""
20210404,15,21,""
20210405,32,22.1428571428571,""
20210406,22,22.2857142857143,""
20210407,22,22.4285714285714,""
20210408,22,22.2857142857143,""
20210409,22,21.7142857142857,""
20210410,15,21.4285714285714,""
20210411,14,21.2857142857143,""
20210412,17,19.1428571428571,""
20210413,13,17.8571428571429,""
20210414,17,17.1428571428571,""
20210415,16,16.2857142857143,""
20210416,16,15.4285714285714,""
20210417,11,14.8571428571429,""
20210418,13,14.7142857142857,""
20210419,17,14.7142857142857,""
20210420,14,14.8571428571429,""
20210421,13,14.2857142857143,""
20210422,13,13.8571428571429,""
20210423,12,13.2857142857143,""
20210424,9,13,""
20210425,9,12.4285714285714,""
20210426,14,12,""
20210427,13,11.8571428571429,""
20210428,8,11.1428571428571,""
20210429,11,10.8571428571429,""
20210430,11,10.7142857142857,""
20210501,8,10.5714285714286,""
20210502,7,10.2857142857143,""
20210503,8,9.42857142857143,""
20210504,12,9.28571428571429,""
20210505,9,9.42857142857143,""
20210506,20,10.7142857142857,""
20210507,12,10.8571428571429,""
20210508,11,11.2857142857143,""
20210509,12,12,""
20210510,7,11.8571428571429,""
20210511,20,13,""
20210512,12,13.4285714285714,""
20210513,16,12.8571428571429,""
20210514,9,12.4285714285714,""
20210515,7,11.8571428571429,""
20210516,11,11.7142857142857,""
20210517,13,12.5714285714286,""
20210518,24,13.1428571428571,""
20210519,20,14.2857142857143,""
20210520,21,15,""
20210521,26,17.4285714285714,""
20210522,20,19.2857142857143,""
20210523,17,20.1428571428571,""
20210524,21,21.2857142857143,""
20210525,25,21.4285714285714,""
20210526,15,20.7142857142857,""
20210527,17,20.1428571428571,""
20210528,29,20.5714285714286,""
20210529,26,21.4285714285714,""
20210530,22,22.1428571428571,""
20210531,25,22.7142857142857,""
20210601,31,23.5714285714286,""
20210602,24,24.8571428571429,""
20210603,37,27.7142857142857,""
20210604,24,27,""
20210605,22,26.4285714285714,""
20210606,30,27.5714285714286,""
20210607,29,28.1428571428571,""
20210608,24,27.1428571428571,""
20210609,31,28.1428571428571,""
20210610,33,27.5714285714286,""
20210611,25,27.7142857142857,""
20210612,34,29.4285714285714,""
20210613,25,28.7142857142857,""
20210614,41,30.4285714285714,""
20210615,34,31.8571428571429,""
20210616,43,33.5714285714286,""
20210617,26,32.5714285714286,""
20210618,47,35.7142857142857,""
20210619,29,35,""
20210620,31,35.8571428571429,""
20210621,37,35.2857142857143,""
20210622,48,37.2857142857143,""
20210623,56,39.1428571428571,""
20210624,51,42.7142857142857,""
20210625,46,42.5714285714286,""
20210626,31,42.8571428571429,""
20210627,39,44,""
20210628,64,47.8571428571429,""
20210629,68,50.7142857142857,""
20210630,70,52.7142857142857,""
20210701,63,54.4285714285714,""
20210702,70,57.8571428571429,""
20210703,56,61.4285714285714,""
20210704,68,65.5714285714286,""
20210705,84,68.4285714285714,""
20210706,103,73.4285714285714,""
20210707,89,76.1428571428571,""
20210708,103,81.8571428571429,""
20210709,84,83.8571428571429,""
20210710,83,87.7142857142857,""
20210711,73,88.4285714285714,""
20210712,102,91,""
20210713,105,91.2857142857143,""
20210714,79,89.8571428571429,""
20210715,80,86.5714285714286,""
20210716,69,84.4285714285714,""
20210717,50,79.7142857142857,""
20210718,68,79,""
20210719,80,75.8571428571429,""
20210720,70,70.8571428571429,""
20210721,75,70.2857142857143,""
20210722,60,67.4285714285714,""
20210723,64,66.7142857142857,""
20210724,44,65.8571428571429,""
20210725,54,63.8571428571429,""
20210726,55,60.2857142857143,""
20210727,60,58.8571428571429,""
20210728,68,57.8571428571429,""
20210729,44,55.5714285714286,""
20210730,53,54,""
20210731,36,52.8571428571429,""
20210801,38,50.5714285714286,""
20210802,51,50,""
20210803,50,48.5714285714286,""
20210804,39,44.4285714285714,""
20210805,74,48.7142857142857,""
20210806,57,49.2857142857143,""
20210807,43,50.2857142857143,""
20210808,40,50.5714285714286,""
20210809,38,48.7142857142857,""
20210810,71,51.7142857142857,""
20210811,43,52.2857142857143,""
20210812,40,47.4285714285714,""
20210813,44,45.5714285714286,""
20210814,47,46.1428571428571,""
20210815,33,45.1428571428571,""
20210816,36,44.8571428571429,""
20210817,68,44.4285714285714,""
20210818,63,47.2857142857143,""
20210819,61,50.2857142857143,""
20210820,68,53.7142857142857,""
20210821,51,54.2857142857143,""
20210822,55,57.4285714285714,""
20210823,79,63.5714285714286,""
20210824,102,68.4285714285714,""
20210825,108,74.8571428571429,""
20210826,109,81.7142857142857,""
20210827,107,87.2857142857143,""
20210828,102,94.5714285714286,""
20210829,94,100.142857142857,""
20210830,116,105.428571428571,""
20210831,135,110.142857142857,""
20210901,155,116.857142857143,""
20210902,132,120.142857142857,""
20210903,155,127,""
20210904,125,130.285714285714,""
20210905,113,133,""
20210906,161,139.428571428571,""
20210907,205,149.428571428571,""
20210908,171,151.714285714286,""
20210909,168,156.857142857143,""
20210910,173,159.428571428571,""
20210911,132,160.428571428571,""
20210912,139,164.142857142857,""
20210913,175,166.142857142857,""
20210914,163,160.142857142857,""
20210915,171,160.142857142857,""
20210916,159,158.857142857143,""
20210917,144,154.714285714286,""
20210918,116,152.428571428571,""
20210919,105,147.571428571429,""
20210920,151,144.142857142857,""
20210921,122,138.285714285714,""
20210922,106,129,""
20210923,134,125.428571428571,""
20210924,111,120.714285714286,""
20210925,87,116.571428571429,""
20210926,84,113.571428571429,""
20210927,117,108.714285714286,""
20210928,121,108.571428571429,""
20210929,105,108.428571428571,""
20210930,93,102.571428571429,""
20211001,103,101.428571428571,""
20211002,88,101.571428571429,""
20211003,88,102.142857142857,""
20211004,138,105.142857142857,""
20211005,109,103.428571428571,""
20211006,88,101,""
20211007,119,104.714285714286,""
20211008,110,105.714285714286,""
20211009,98,107.142857142857,""
20211010,75,105.285714285714,""
20211011,92,98.7142857142857,""
20211012,106,98.2857142857143,""
20211013,87,98.1428571428571,""
20211014,121,98.4285714285714,""
20211015,127,100.857142857143,""
20211016,85,99,""
20211017,75,99,""
20211018,126,103.857142857143,""
20211019,132,107.571428571429,""
20211020,120,112.285714285714,""
20211021,105,110,""
20211022,113,108,""
20211023,84,107.857142857143,""
20211024,73,107.571428571429,""
20211025,131,108.285714285714,""
20211026,119,106.428571428571,""
20211027,122,106.714285714286,""
20211028,113,107.857142857143,""
20211029,107,107,""
20211030,80,106.428571428571,""
20211031,81,107.571428571429,""
20211101,130,107.428571428571,""
20211102,112,106.428571428571,""
20211103,92,102.142857142857,""
20211104,92,99.1428571428571,""
20211105,95,97.4285714285714,""
20211106,63,95,""
20211107,85,95.5714285714286,""
20211108,111,92.8571428571429,""
20211109,104,91.7142857142857,""
20211110,84,90.5714285714286,""
20211111,103,92.1428571428571,""
20211112,92,91.7142857142857,""
20211113,53,90.2857142857143,""
20211114,74,88.7142857142857,""
20211115,89,85.5714285714286,""
20211116,110,86.4285714285714,""
20211117,80,85.8571428571429,""
20211118,85,83.2857142857143,""
20211119,72,80.4285714285714,""
20211120,53,80.4285714285714,""
20211121,53,77.4285714285714,""
20211122,92,77.8571428571429,""
20211123,74,72.7142857142857,""
20211124,100,75.5714285714286,""
20211125,77,74.4285714285714,""
20211126,65,73.4285714285714,""
20211127,62,74.7142857142857,""
20211128,55,75,""
20211129,94,75.2857142857143,""
20211130,78,75.8571428571429,""
20211201,74,72.1428571428571,""
20211202,64,70.2857142857143,""
20211203,52,68.4285714285714,""
20211204,62,68.4285714285714,""
20211205,63,69.5714285714286,""
20211206,93,69.4285714285714,""
20211207,94,71.7142857142857,""
20211208,81,72.7142857142857,""
20211209,101,78,""
20211210,69,80.4285714285714,""
20211211,47,78.2857142857143,""
20211212,47,76,""
20211213,90,75.5714285714286,""
20211214,79,73.4285714285714,""
20211215,90,74.7142857142857,""
20211216,93,73.5714285714286,""
20211217,82,75.4285714285714,""
20211218,57,76.8571428571429,""
20211219,53,77.7142857142857,""
20211220,120,82,""
20211221,94,84.1428571428571,""
20211222,110,87,""
20211223,97,87.5714285714286,""
20211224,102,90.4285714285714,""
20211225,73,92.7142857142857,""
20211226,115,101.571428571429,""
20211227,141,104.571428571429,""
20211228,151,112.714285714286,""
20211229,169,121.142857142857,""
20211230,172,131.857142857143,""
20211231,202,146.142857142857,""
20220101,128,154,""
20220102,153,159.428571428571,""
20220103,153,161.142857142857,""
20220104,188,166.428571428571,""
20220105,155,164.428571428571,""
20220106,177,165.142857142857,""
20220107,175,161.285714285714,""
20220108,148,164.142857142857,""
20220109,157,164.714285714286,""
20220110,171,167.285714285714,""
20220111,179,166,""
20220112,151,165.428571428571,""
20220113,157,162.571428571429,""
20220114,151,159.142857142857,""
20220115,94,151.428571428571,""
20220116,93,142.285714285714,""
20220117,135,137.142857142857,""
20220118,132,130.428571428571,""
20220119,129,127.285714285714,""
20220120,118,121.714285714286,""
20220121,129,118.571428571429,""
20220122,96,118.857142857143,""
20220123,87,118,""
20220124,125,116.571428571429,""
20220125,129,116.142857142857,""
20220126,95,111.285714285714,""
20220127,87,106.857142857143,""
20220128,100,102.714285714286,""
20220129,63,98,""
20220130,81,97.1428571428571,""
20220131,116,95.8571428571429,""
20220201,124,95.1428571428571,""
20220202,87,94,""
20220203,98,95.5714285714286,""
20220204,122,98.7142857142857,""
20220205,75,100.428571428571,""
20220206,60,97.4285714285714,""
20220207,108,96.2857142857143,""
20220208,110,94.2857142857143,""
20220209,98,95.8571428571429,""
20220210,85,94,""
20220211,83,88.4285714285714,""
20220212,64,86.8571428571429,""
20220213,82,90,""
20220214,111,90.4285714285714,""
20220215,97,88.5714285714286,""
20220216,118,91.4285714285714,""
20220217,85,91.4285714285714,""
20220218,97,93.4285714285714,""
